timestamp,event_type,query,intent,result_count,book_id,score,details
2026-05-19T19:42:45.367825,play,,,,9,,The Mordant
2026-05-19T19:42:47.352960,play,,,,9,,The Mordant
2026-05-19T20:02:36.708936,play,,,,9,,The Mordant
2026-05-19T20:02:37.360264,play,,,,9,,The Mordant
2026-05-19T20:02:45.418654,pause,,,,9,,The Mordant
2026-05-19T20:02:55.898973,resume,,,,9,,The Mordant
2026-05-19T20:03:13.708641,play,,,,9,,The Mordant
2026-05-19T20:03:13.781723,speed_change,,,,9,,rate=1.3
2026-05-19T20:03:14.275592,play,,,,9,,The Mordant
2026-05-19T20:03:24.280791,speed_change,,,,9,,rate=0.7
2026-05-19T20:03:24.284942,play,,,,9,,The Mordant
2026-05-19T20:03:25.224992,play,,,,9,,The Mordant
2026-05-19T21:06:03.840718,welcome,,,,,,
2026-05-19T22:24:22.714842,play,,,,6,,The Mordant (author_unknown)
2026-05-19T22:24:23.164922,play,,,,6,,The Mordant (author_unknown)
2026-05-19T22:25:07.820338,pause,,,,6,,The Mordant (author_unknown)
2026-05-19T22:25:19.054273,resume,,,,6,,The Mordant (author_unknown)
2026-05-19T22:25:54.164506,speed_change,,,,6,,rate=1.3
2026-05-19T22:25:59.617187,speed_change,,,,6,,rate=1.3
2026-05-19T22:26:07.554663,speed_change,,,,6,,rate=0.7
2026-05-19T22:26:17.932568,speed_change,,,,6,,rate=0.7
2026-05-19T22:26:21.048835,speed_change,,,,6,,rate=0.7
2026-05-19T22:26:24.010944,speed_change,,,,6,,rate=0.7
2026-05-19T22:26:24.681608,speed_change,,,,6,,rate=0.7
2026-05-19T22:26:24.937122,speed_change,,,,6,,rate=0.7
2026-05-19T22:26:26.101924,speed_change,,,,6,,rate=0.7
2026-05-19T22:26:26.312326,speed_change,,,,6,,rate=0.7
2026-05-19T22:26:26.659997,speed_change,,,,6,,rate=0.7
2026-05-19T22:28:59.387773,play,,,,9,,The Mordant
2026-05-19T22:29:01.230425,play,,,,9,,The Mordant
2026-05-19T22:29:26.606064,play,,,,9,,The Mordant
2026-05-19T22:29:26.671207,speed_change,,,,9,,rate=1.3
2026-05-19T22:29:28.432072,play,,,,9,,The Mordant
